,keyphrase,keyphrase in _ plans
870,formats,3
14774,improvement measures,3
2410,devon climate change,3
14961,national legislation,3
5550,organisational changes,3
9355,future development,3
9356,annual reporting,3
13814,weather,3
13052,scope category,3
5154,woodland planting,3
10830,service delivery,3
9896,campaign,3
11359,process,3
15579,valley borough,3
13103,travel requirements,3
14695,ability,3
10485,natural resources wales,3
9982,procurement policies,3
11702,compliance,3
2361,change group,3
14687,flood management,3
71,norfolk county,3
791,utility,3
789,environment emergency,3
11585,whole borough,3
14680,reduction programme,3
4390,environmental crime,3
2355,lower energy bills,3
3318,legislative changes,3
6710,sustainable homes,3
13856,nature action,3
7478,energy buildings,3
8126,car sharing,3
1229,environmental impacts,3
13078,scale,3
3614,net cost,3
6880,council target,3
8865,future reductions,3
3602,uk committee,3
822,council development,3
13082,draft strategy,3
12525,council pledges,3
4076,ev,3
10702,external grant funding,3
11690,encouraging,3
13084,borough planning,3
8141,utility bills,3
13086,local development,3
13836,environmental benefits,3
818,documents,3
9390,modern transport system,3
15583,reduction commitment,3
14706,exercise,3
14705,city development,3
2371,world resources,3
9393,cycle,3
2423,title climate,3
3568,carbon emission,3
6903,solar installation,3
5752,try,3
6800,change process,3
12944,strategy table,3
6437,baseline year,3
12498,statutory requirements,3
3480,district carbon,3
10438,green roofs,3
11224,inequality,3
1019,promote,3
13764,waste generation,3
12316,strategic plan,3
6304,project delivery,3
10440,annual reduction,3
6081,partnership working,3
3469,sea level,3
4703,council offices,3
6772,external funding opportunities,3
5573,adaptation plan,3
13772,gasses,3
14917,renewable energy capacity,3
13746,human health,3
3527,damaging climate impacts,3
3526,local emissions,3
11623,climate system,3
12961,change planning,3
14893,know,3
3505,council budgets,3
14894,emissions carbon,3
4695,council foreword,3
983,smart meters,3
11627,change target,3
2483,replacement tree,3
3499,new technologies,3
4324,financial cost,3
13756,key performance indicators,3
3496,council land,3
2492,renewable energy sources,3
9275,planning applications,3
995,carbon storage,3
996,car parking,3
12972,council report,3
8282,cheshire,3
14919,positive outcomes,3
3538,table footprint,3
924,reporting framework,3
6074,scopes scope,3
12349,equality act,3
15610,natural gas,3
12321,bring,3
7436,woodland management,3
13024,energy planning,3
1094,global sea level,3
14802,specification,3
8203,ev infrastructure,3
893,additional powers,3
5181,climate commission,3
13795,ambitious targets,3
9250,health inequalities,3
5558,sequester carbon,3
7438,draft climate,3
10392,private investment,3
1105,council actions,3
4092,scottish borders,3
12317,statutory requirement,3
902,column,3
6763,emissions scopes,3
8299,unavoidable impacts,3
4312,property asset,3
10720,report climate,3
2456,diseases,3
8300,innovative approaches,3
2455,energy reduction,3
7422,corporate plan,3
1049,strategy scope,3
8226,domestic energy efficiency,3
4118,sustainable cities,3
12033,district emissions,3
1057,demonstrate leadership,3
13786,enable delivery,3
6767,employee commute,3
14823,new build homes,3
10813,project basis,3
8220,peat bogs,3
8219,living document,3
2516,local context,3
2441,procurement review,3
907,heat recovery,3
15613,local impacts,3
12324,livestock,3
9410,transport services,3
11692,climate agenda,3
1989,concepts,3
10287,prevent,3
11567,ancillary benefits,3
1325,financial costs,3
2323,march,3
5319,adverse impacts,3
13140,uk law,3
9164,collaborate,3
8068,plan report,3
2317,external funding sources,3
4656,rag rating,3
5830,carbon action,3
10318,term net,3
4655,nature,3
12488,remit,3
1323,council influence,3
4034,term projects,3
14582,proposes,3
13877,drainage systems,3
13647,local development framework,3
12085,steps,3
2277,external grants,3
1411,coastal erosion,3
6112,biodegradable waste,3
6912,conversion,3
14558,royal borough,3
1404,council support,3
7316,public transport network,3
3659,carbon environment,3
1316,wide climate emergency,3
10327,green energy,3
8405,emissions target,3
685,mean sea level,3
4777,engaging,3
691,quality management,3
1382,resilience measures,3
3672,city scale,3
8418,infrastructure levy,3
12271,building standards,3
4135,environment agency,3
11352,irreversible impacts,3
10001,national infrastructure assessment,3
1369,core principles,3
8420,capital cost,3
3250,sustainable way,3
5837,full council,3
6257,planting schemes,3
14583,producer responsibility,3
7517,principles,3
5591,partner organisations,3
7522,dangerous climate change,3
4132,ongoing maintenance,3
11563,city climate,3
11727,public transport options,3
9444,global average,3
12838,next years,3
8051,heating homes,3
12387,sustainable climate,3
4037,local plan policies,3
15540,transport actions,3
14596,carbon audit,3
14595,project register,3
8080,neutral action plan,3
15555,water management,3
7514,key changes,3
9159,net uk carbon,3
4268,practice,3
13680,carbon accounting,3
5300,building resilience,3
4062,chart,3
13121,reduce climate,3
13204,power outages,3
9191,sustainable transport action,3
13196,support community,3
13861,region climate,3
13198,local progress,3
5728,increase resilience,3
11554,policy,3
14540,tonne,3
13199,solar installations,3
11391,ensure council,3
2630,electricity procurement,3
8096,glasgow climate,3
752,wind energy,3
14649,heating requirements,3
11256,significant challenge,3
4126,agricultural sector,3
12071,euro compliant,3
3307,coal,3
4433,transport strategy,3
9195,significant change,3
13206,low carbon energy,3
6675,erosion,3
3310,lighting replacement,3
13190,connectivity,3
2628,baseline figures,3
7343,key performance,3
7532,indicative costs,3
10678,identifies,3
5302,performance framework,3
119,human activity,3
9987,baseline information,3
10333,projections,3
8786,sequestering carbon,3
3311,draft plan,3
12628,sustainability actions,2
12572,public transport modes,2
13616,sustainable development protocol,2
13659,regulatory functions,2
2668,total scope,2
7288,final,2
10631,hydrogen technologies,2
6443,influence government,2
10707,best practice methods,2
10951,automatic meter data,2
12079,travel policy,2
12559,carbon literate,2
6165,sustainability plans,2
4680,unintended consequences,2
7210,improved air quality,2
10004,council motion,2
12136,health,2
4623,originator cost,2
6542,additional costs,2
10110,adverse effects,2
7283,public document pack,2
4025,other transport,2
10730,low carbon growth,2
2512,staff climate,2
6432,baseline greenhouse,2
6425,renewable energy directive,2
13729,energy action,2
7384,economy manchester,2
2608,urban drainage,2
12135,options consultation,2
10957,infrared energy,2
10946,conservation management,2
13641,emissions action,2
2673,ambitious carbon,2
4681,moray council,2
12050,industrial process,2
9948,marshy grassland,2
6480,balanced diet,2
7393,climate emergencies,2
12043,modelling tools,2
12137,allotment,2
2503,overview,2
12146,county farms,2
13510,programme emissions,2
4033,pool cars,2
10676,plan page,2
12558,nutrition,2
3924,electricity scope,2
2815,property flood,2
10744,environmental considerations,2
4577,storage options,2
3929,mortality monitoring,2
4168,electric refuse,2
4631,potential impact,2
12046,nap headings,2
13625,extensive tree planting,2
4100,energy sustainability,2
4635,carbon report,2
4686,energy improvements,2
4171,baseline emissions,2
2659,progress carbon,2
2507,efficient driving,2
2612,new waste strategy,2
12512,local policy context,2
2613,work programme,2
13513,total scope emissions,2
4036,building council,2
2655,collection services,2
12570,lighting installations,2
2506,heating scheme,2
4165,progress climate,2
13656,transport hierarchy,2
2793,cardiff capital,2
6403,management climate,2
5569,bau scenario,2
2706,un framework,2
12607,mammals,2
13559,formal review,2
2707,renewable energy measures,2
3968,recycling rate,2
9978,part validation,2
9977,baseline assessment,2
13679,uk response,2
13558,average council housing,2
2559,annual climate change,2
2740,new build projects,2
12491,cabinet meeting,2
6098,food insecurity,2
7237,indirect scope,2
6147,deliberations,2
4059,heating schemes,2
12124,carbon goal,2
13676,local plan strategy,2
12611,sustainable products,2
3965,performance,2
13675,hydrogen production,2
3963,council property,2
7235,housing improvements,2
13552,housing,2
2747,food security,2
2704,november,2
7362,environmental objective,2
4055,features,2
10653,action network,2
13697,sustainable development greenhouse,2
12603,plan april,2
4073,housing accounts,2
9986,housing developments,2
12597,plan figure,2
10062,figure uk,2
9985,national government level,2
7252,stationary sources,2
13575,resolves,2
6506,digital connectivity,2
4602,national action,2
10967,slough borough council,2
10697,latest uk climate,2
7247,review recycling,2
7246,communicating,2
12072,tree replacement,2
10654,transport sector,2
4123,planet report,2
2581,conservation act,2
7243,local communities,2
12473,council measures,2
7350,domestic transport total,2
4659,contact councillor,2
12068,total cost,2
10058,cabinet notes,2
13564,strategy greener,2
10701,positive changes,2
3961,baseline carbon footprint,2
6412,significant challenges,2
12625,climate justice,2
7374,average surface temperature,2
13595,wind power,2
7376,strategy targets,2
7267,proactive programmes,2
7268,other benefits,2
7220,pressures,2
6149,areas climate,2
12057,sustainable lifestyles,2
4154,government investment,2
4083,wetter,2
12109,annual progress report,2
6526,support residents,2
10705,objective reduce waste,2
10689,gardens,2
4089,social housing provision,2
10083,future activity,2
12131,financial return,2
7215,mobilisation phase,2
6410,environmental assessment method,2
2781,baseline levels,2
10964,calculation,2
3945,introduce,2
10672,reduction strategies,2
10047,sustainable farming,2
7274,energy waste,2
12626,national income,2
10044,adverse weather,2
13524,substantial tree planting,2
7221,energy generating,2
12476,ongoing work,2
13717,heating oil,2
7233,other scopes,2
10688,broader goal,2
12126,repair reuse,2
2591,green investment,2
12587,civic quarter heat,2
10647,treatment consumption,2
6520,action planning,2
12543,carbon saving,2
7336,local priority,2
10078,review council,2
13544,seasons,2
10686,bill,2
7367,regional development fund,2
9965,comparative performance data,2
3952,carbon sector,2
2538,cycling plan,2
13540,city region,2
13590,councillor travel,2
2537,scatter emissions,2
7224,impactful change,2
4654,essex climate,2
7223,draft gareth,2
9998,home working,2
10965,revise,2
12582,carbon objectives,2
2534,active travel routes,2
10432,farming practices,2
12154,corporate objectives,2
12385,participants feedback,2
3658,equality impact,2
13130,future actions,2
6263,change commission,2
12276,current membership summary,2
10321,sustainable food,2
3277,ongoing energy efficiency,2
10320,action climate,2
10506,park ity,2
3662,active travel infrastructure,2
6339,emission factors,2
6924,municipal waste management,2
12268,london,2
4403,emissions tonnes,2
4404,countryside climate,2
4405,incorporation,2
6930,neutral mean,2
4407,footprint calculation,2
3666,different pathways,2
13151,railways,2
13152,severe impacts,2
3263,key measures,2
3261,seed funding,2
12835,community initiatives,2
10511,city recovery,2
12270,national infrastructure,2
13127,meet,2
6910,local path,2
3293,passive ad,2
6693,london plan,2
7404,powered vehicles,2
10487,agricultural land,2
12374,effort,2
4391,housing property,2
4274,account changes,2
4273,recycling collection,2
12379,transitioning,2
10498,energy water,2
3309,new buildings,2
6905,current building regulations,2
3305,current performance,2
10332,change council,2
13119,residents survey,2
12854,manchester residents,2
6337,school estate,2
6699,minimum energy efficiency,2
6697,strategic functions,2
10504,developing,2
6266,car ownership,2
4412,environmental objectives,2
12267,schemes,2
12647,local plans,2
10269,waste scotland,2
6346,scrutiny,2
4434,ongoing engagement,2
3198,gas boilers,2
6672,diesel,2
12395,target responsibility,2
3697,expenses,2
13212,sustainability projects,2
10523,regional response,2
10859,standards review,2
13218,tables,2
3182,annual reduction rate,2
12832,report terminology,2
3181,plan bristol,2
6669,fuel costs,2
10524,planet future,2
4251,investment case,2
12396,economic renewal,2
12246,livelihoods,2
13225,grass roots,2
3173,financial support,2
10264,global warming potential,2
3706,enable reduction,2
4249,sustainability committee,2
10528,solar gain,2
3168,sector buildings,2
4254,building controls,2
10853,environment actions,2
3248,leeds city,2
3246,household recycling,2
3676,role,2
3677,specific actions,2
13166,reporting conversion,2
10300,sustainability goals,2
13168,power generation,2
3678,air conditioning,2
12264,external use categories,2
10847,considerable progress,2
13171,sequester,2
10782,household emissions,2
10294,next educate,2
3233,current carbon footprint,2
13183,infrastructure development,2
13184,southern water utility,2
3685,improvement plan,2
10517,local plan process,2
3687,dietary intake,2
12257,energy requirements,2
4427,food production,2
13188,public energy partnership,2
10852,retrofit works,2
13104,high risk,2
3624,cities programme,2
12326,alternative transport modes,2
